Gene	aos_HRFR_1.5h_nw	aos_HRFR_1.5h_w	aos_LRFR_1.5h_nw	aos_LRFR_1.5h_w	aos_HRFR_4h_nw	aos_HRFR_4h_w	aos_LRFR_4h_nw	aos_LRFR_4h_w	Col-0_HRFR_1.5h_nw	Col-0_HRFR_1.5h_w	Col-0_LRFR_1.5h_nw	Col-0_LRFR_1.5h_w	Col-0_HRFR_4h_nw	Col-0_HRFR_4h_w	Col-0_LRFR_4h_nw	Col-0_LRFR_4h_w
AT3G62090	-1.447608568	-0.769297135	3.792575374	3.792577164	-0.428087636	0.349917396	5.027338594	5.071369384	-1.879415571	-0.662467849	3.421371604	3.885581629	-1.297958498	0.430728537	5.043734514	5.472371991
AT3G62100	-0.26421583	-0.429117372	3.156380367	3.131358843	-1.091151881	0.075778332	2.059322129	2.406167245	-0.184251643	-0.752750144	3.287728155	3.519565063	-0.625311077	0.31614349	2.22081945	2.299477941
AT3G62110	6.932601527	6.731442151	7.240793401	7.279363639	6.995629256	6.749963347	7.0271514	6.99792628	6.845369838	5.916890062	7.274056461	6.981797601	6.85651218	5.992748506	7.018494256	6.625506376
AT3G62120	7.350289644	7.293916917	7.479683465	7.410755749	7.259995952	7.16177948	7.448273304	7.326380916	7.391929254	7.168119682	7.417773427	7.328428689	7.268903678	6.944116684	7.492560788	7.192775494
AT3G62130	3.863841483	3.975173136	3.905785897	4.015305539	3.920287131	3.9061311	3.701684647	3.709250004	3.959992208	4.17753509	4.028196195	4.062081994	4.007521641	4.186795149	3.756369458	3.92020025
AT3G62140	3.133383148	3.202976331	3.396006756	3.301946402	3.195176736	3.200353978	3.217427936	3.113841504	3.16915892	3.361193282	3.210374631	3.327205048	3.223193902	3.44914363	3.060108567	3.400427659
AT3G62150	6.042158871	6.31095879	5.406843257	5.913833274	4.571172472	4.211162198	2.957983628	2.578837206	5.642425449	4.20573518	5.276218389	4.79407208	4.747960705	2.181350714	2.393640113	1.318883582
AT3G62160	3.81656141	3.637544991	3.747651017	3.905948045	3.505916006	3.956307299	3.556991677	3.418166951	3.702319041	3.94690807	3.504069917	3.933757958	3.538831939	3.825924429	3.290405448	3.200288975
AT3G62190	4.334522314	4.326947077	4.265481654	4.230500149	4.261144162	4.178106913	3.843836454	3.898142634	4.200643463	4.646756518	4.105645463	4.348958132	4.216326989	4.569942228	3.96738641	4.105293056
AT3G62200	3.829716325	3.792757044	3.594199284	3.704586719	3.512933487	3.550467529	3.837946563	3.735269712	3.652344558	2.913320582	3.670256749	3.176379883	3.446067155	3.360397342	3.651490149	3.583805223
